total_homeless,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_inslander,percent_population_0_19,percent_population_65_plus,percent_female_population
1643.0,502921,-6.74143516246197,,,19.1929168701172,26.4555931091309,24.0557022094727,,0,1444,1.20437633991241,0,1,6.99099731445313,44.4500007629395,7.77060413360596,5.10143661499023,96.0,,2553,,,,,,11.12178,,27.2800006866455,71.6900024414063,4.15999984741211,47.5299987792969,32.669146844136556,0.09187725308746304,0.03444278524857781,0.01355282439985604,0.0009345404148961765,0.2539643403238282,0.1566786831331362,0.513430538792375
1803.0,506496,-2.28109355060371,2.31154489517212,13.1000003814697,19.1929168701172,26.4555931091309,24.0557022094727,6.27254915237427,0,1580,1.20437633991241,0,1,6.00609493255615,44.4500007629395,8.31674861907959,4.50226640701294,96.0,23.9514427185059,2898,,24.1078281402588,22.4509754180908,9.07064533233643,63.0034103393555,11.17587,,26.3299999237061,69.4899978637695,4.05999994277954,52.8800010681152,35.59751705837756,0.09418435683598686,0.035631080995703814,0.013703958175385392,0.0009397902451352034,0.2500276408895628,0.16201312547384383,0.5134769080111196
1692.0,509193,1.11907332875234,,,19.1929168701172,26.4555931091309,24.0557022094727,,0,1312,1.20437633991241,0,1,5.05647087097168,44.4500007629395,9.47204685211182,4.5534029006958,95.0,,2192,,,,,,11.54911,,31.7299995422363,70.3399963378906,3.54999995231628,44.3699989318848,33.22905067430228,0.0970103673852547,0.036516605687823674,0.014057538104412275,0.0009564153474222937,0.24693780158014741,0.16693473790880864,0.5137875029703864
1109.0,511820,6.13281633454403,2.31154489517212,13.1000003814697,19.1929168701172,26.4555931091309,24.0557022094727,6.27254915237427,0,857,1.20437633991241,0,1,4.0873908996582,44.4500007629395,7.81075382232666,4.4111213684082,96.0,23.9514427185059,2148,0.339998304843903,24.1078281402588,22.4509754180908,9.07064533233643,63.0034103393555,12.11486,0.21655760705471,34.4300003051758,72.1100006103516,5.48000001907349,36.5400009155273,21.66777382673596,0.09987495603923255,0.03768316986440545,0.014540268062990896,0.0009143839631120316,0.24444531280528312,0.17151342268766362,0.5135809464264781
9699.0,3670115,0.0,,,17.6253814697266,24.4610462188721,41.7914657592773,,1,6152,2.13421607017517,1,0,7.47216510772705,48.6843681335449,9.56588554382324,7.41909837722778,95.3811264038086,,24543,,,,,,11.1395192683989,,26.9895935058594,67.8611297607422,3.45379948616028,51.6772117614746,26.42696482262817,0.07286120462165355,0.09930969465534459,0.07171900608019095,0.0004790040639053545,0.2456944809631306,0.12888097511930824,0.5127106371326239
9780.0,3650862,-1.36067512379975,2.36234307289124,12.4990863800049,17.6253814697266,24.4610462188721,41.7914657592773,4.92129325866699,1,8285,2.13421607017517,1,0,7.51681709289551,48.6843681335449,10.666877746582,7.33668947219849,96.005485534668,39.9694519042969,14710,,29.9202880859375,24.0818710327148,7.76576328277588,51.2183418273926,11.2297947921505,,23.4859771728516,71.8901596069336,4.01595735549927,52.5578193664551,26.788194130591624,0.07652795422012665,0.10700349670844858,0.07853597314825923,0.00034101535472992405,0.24238056656208862,0.13070748771112137,0.517296463136651
10050.0,3690166,-2.97265320934598,,,17.6253814697266,24.4610462188721,41.7914657592773,,1,8757,2.13421607017517,1,0,6.46238851547241,48.6843681335449,10.9082622528076,8.10257053375244,96.1876983642578,,24322,,,,,,11.4145772652585,,31.5313262939453,70.3659744262695,3.12286520004272,58.4576606750488,27.234547172132636,0.07738757551828292,0.11042972050579838,0.0809928333847312,0.00033955112046449943,0.24087290382058693,0.13157890458044436,0.5169707812602469
11550.0,3731301,-3.54028221783929,2.36234307289124,12.4990863800049,17.6253814697266,24.4610462188721,41.7914657592773,4.92129325866699,1,10107,2.13421607017517,1,0,5.93802261352539,48.6843681335449,10.9262428283691,8.13030242919922,96.8009414672852,39.9694519042969,25812,,29.9202880859375,24.0818710327148,7.76576328277588,51.2183418273926,11.4387868598138,,29.0483303070068,70.7711639404297,1.45271611213684,41.3457183837891,30.954350774702977,0.0784192966474696,0.11397257953727132,0.08350197424437214,0.0003446519055953942,0.23875398956020968,0.13519386401686703,0.5163464432378948
13049.0,3773376,-0.305654573768706,,,17.6253814697266,24.4610462188721,41.7914657592773,,1,9260,2.13421607017517,1,0,5.99747657775879,48.6843681335449,10.8006992340088,8.58919429779053,97.0008392333984,,27366,,,,,,10.9475105988218,,24.4029483795166,71.2146301269531,3.22603559494019,43.8192749023438,34.58176444647976,0.07951844714123374,0.11725362116046745,0.08594293280075985,0.00035167446869858717,0.23653221942366728,0.13800135475499925,0.516108386760291
12422.0,3808083,7.04294701401206,2.47550058364868,12.977313041687,17.6253814697266,24.4610462188721,41.7914657592773,3.40794515609741,1,7893,2.13421607017517,1,0,5.10499954223633,48.6843681335449,10.881932258606,7.72996234893799,93.3764038085938,37.8387298583984,20292,,28.9171104431152,24.0383472442627,5.85516023635864,48.8856201171875,10.9163562663944,,23.062837600708,69.1737442016602,3.80035877227783,49.162841796875,32.62008732477732,0.08044362478443878,0.12066464937870314,0.08844502601440148,0.000350044891353471,0.2342446317477849,0.14092156079581247,0.5157492628180635
11814.0,3838153,11.4506563709141,,,17.6253814697266,24.4610462188721,41.7914657592773,,1,9526,2.13421607017517,1,0,4.27586936950684,48.6843681335449,10.352349281311,7.68542814254761,94.3766784667969,,16560,,,,,,11.1215577450222,,29.6497554779053,69.6729354858398,2.81300592422485,38.4499626159668,30.78043006623238,0.08133782056108758,0.12416076169970296,0.09106802151972576,0.00035746360293609973,0.23217860257264367,0.14368213044138678,0.5155039416094147
10874.0,3862930,18.4034453245544,2.47550058364868,12.977313041687,17.6253814697266,24.4610462188721,41.7914657592773,3.40794515609741,1,9302,2.13421607017517,1,0,3.45101642608643,48.6843681335449,9.9640941619873,7.59777498245239,95.825439453125,37.8387298583984,11623,-0.390883892774582,28.9171104431152,24.0383472442627,5.85516023635864,48.8856201171875,11.6299161613361,0.212487056851387,32.7787399291992,71.8178024291992,4.18183374404907,35.6079254150391,28.149617000566927,0.08210503426155794,0.12753919951953568,0.09383110747541375,0.00035542968679215,0.23013800405391763,0.146448421276078,0.5151030435446668
801.0,547013,0.0,,,16.9893608093262,24.2344970703125,37.9062881469727,,1,2301,1.28772902488709,0,1,10.6530208587646,45.3899993896484,10.804313659668,5.90939903259277,95.0,,-131,,,,,,10.29261,,28.5599994659424,68.946662902832,3.58999991416931,56.1199989318848,14.643162045508973,0.030246081902989507,0.05760923414982825,0.019109235063883307,0.00044605886880202115,0.2529208629411001,0.14003140693182795,0.514823230892136
863.0,549182,-3.78578542072853,1.89160478115082,13.3999996185303,16.9893608093262,24.2344970703125,37.9062881469727,6.45475006103516,1,2467,1.28772902488709,0,1,10.5799980163574,45.3899993896484,12.4270277023315,5.92087030410767,94.0,35.6483001708984,384,,27.0789794921875,26.0090923309326,9.61792945861816,72.0769805908203,10.56601,,25.75,72.2600021362305,3.94000005722046,53.5799980163574,15.71428051174292,0.03449129796679425,0.060641098943519635,0.01914119545068848,0.00047707317428466337,0.25156505493625064,0.14242455142375388,0.5156669373723101
930.0,549368,-6.84639445667877,,,16.9893608093262,24.2344970703125,37.9062881469727,,1,2949,1.28772902488709,0,1,9.43618869781494,45.3899993896484,11.6131629943848,6.45888900756836,95.0,,-497,,,,,,10.84281,,34.0499992370605,71.2133331298828,3.41000008583069,57.6500015258789,16.928543344352057,0.0351786052336503,0.06265745365583725,0.01976816996985627,0.00046234946338337873,0.24772101760568507,0.1444204977355798,0.5156088450728837
823.0,551250,-8.78627635251708,1.89160478115082,13.3999996185303,16.9893608093262,24.2344970703125,37.9062881469727,6.45475006103516,1,2207,1.28772902488709,0,1,8.712327003479,45.3899993896484,12.7577323913574,6.49856472015381,94.0,35.6483001708984,1087,,27.0789794921875,26.0090923309326,9.61792945861816,72.0769805908203,10.93354,,30.8099994659424,71.3066635131836,2.04999995231628,43.3800010681152,14.929705215419501,0.035843990929705215,0.06476916099773243,0.020337414965986393,0.00047891156462585036,0.24468390022675737,0.14962539682539683,0.5156099773242631
925.0,552654,-8.13403840489248,,,16.9893608093262,24.2344970703125,37.9062881469727,,1,2604,1.28772902488709,0,1,8.70766067504883,45.3899993896484,13.7111101150513,6.76729965209961,95.0,,954,,,,,,10.79463,,26.5300006866455,71.8166656494141,4.0,47.689998626709,16.737416177210335,0.036594324839773165,0.0675666872944012,0.02082496462524473,0.0005048366609126144,0.2416720045453394,0.15329301877847623,0.5156047002283526
1083.0,555391,-4.05509657329611,1.94876325130463,12.6999998092651,16.9893608093262,24.2344970703125,37.9062881469727,4.68457937240601,1,3172,1.28772902488709,0,1,7.33819103240967,45.3899993896484,11.9830894470215,6.40209293365479,95.0,34.9522399902344,2471,,28.2332935333252,26.6473503112793,7.95643186569214,71.1315231323242,10.71021,,25.8400001525879,69.6333312988281,3.64000010490417,50.6300010681152,19.499775833601912,0.03800205620904912,0.07016318233460751,0.02154518168281445,0.0005077503956671967,0.2385562603643199,0.15681024719521922,0.5154872873345084
